Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Gasto_Fijo,Gastos_variables
44637.25,49,0,Self_Employed,Tier_1,13391.17,0.0,2206.49,6658.77,2636.97,1651.8,1536.18,2911.79,1546.91,0.0,831.53,13.89,6200.54,11265.63,24893.4,8478.21
26858.6,34,2,Retired,Tier_2,5371.72,0.0,869.52,2818.44,1543.02,649.38,1050.24,1626.14,1137.35,1551.72,564.24,7.16,1923.18,9676.82,12154.42,5027.35
50367.61,35,1,Student,Tier_3,7555.14,4612.1,2201.8,6313.22,3221.4,1513.81,1723.31,3368.46,2178.52,3160.03,628.37,14.0,7050.36,13891.45,22451.59,9412.47
101455.6,21,0,Self_Employed,Tier_3,15218.34,6809.44,4889.42,14690.15,7106.13,5040.25,2858.19,6128.55,4571.12,0.0,2526.06,16.46,16694.97,31617.95,41904.04,21124.17
24875.28,52,4,Professional,Tier_2,4975.06,3112.61,635.91,3034.33,1276.16,692.83,660.19,1092.69,1169.1,1445.22,515.51,7.53,1874.1,6265.7,11366.679999999998,4130.32
24875.61,57,4,Self_Employed,Tier_2,4975.12,0.0,1038.23,3250.07,1760.16,1049.07,751.02,1024.31,1022.3,2003.85,402.22,5.94,1478.67,7599.27,13027.43,4248.92
106119.69,53,0,Self_Employed,Tier_2,21223.94,0.0,4360.2,12790.39,6345.74,4390.91,2626.77,6202.55,3807.1,0.0,2776.77,17.34,18399.56,41595.33,44720.27,19804.1
55431.34,40,1,Professional,Tier_2,11086.27,8307.7,1755.44,8194.48,3353.0,1741.91,1219.68,2361.98,2574.45,5520.44,850.04,11.97,6636.41,8465.94,29909.629999999997,8748.06
20606.73,32,4,Retired,Tier_1,6182.02,3562.49,1018.59,3066.87,1170.79,688.06,418.23,921.23,830.24,1939.23,446.07,6.3,362.92,362.92,13377.5,3303.8299999999995
46304.79,30,1,Student,Tier_2,9260.96,0.0,2130.25,5065.63,2500.05,2040.31,1016.61,2945.43,1649.76,3085.99,919.53,12.13,5615.1,15690.26,22042.879999999997,8571.640000000001
20706.82,31,0,Student,Tier_3,3106.02,0.0,1031.78,3037.27,1459.28,451.41,785.29,1548.08,819.1,0.0,410.03,8.35,1729.7,8058.57,8634.35,4013.91
20668.56,31,4,Professional,Tier_2,4133.71,0.0,754.45,2597.4,1123.04,878.88,643.15,1408.9,1019.25,1506.36,483.81,8.25,1704.19,6119.61,10114.960000000001,4433.99
