Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Desired_Savings,Disposable_Income,Gasto_Fijo,Gastos_variables
44637.25,49,0,Self_Employed,Tier_1,13391.17,0.0,6200.54,11265.63,24893.4,8478.21
26858.6,34,2,Retired,Tier_2,5371.72,0.0,1923.18,9676.82,12154.42,5027.35
50367.61,35,1,Student,Tier_3,7555.14,4612.1,7050.36,13891.45,22451.59,9412.47
101455.6,21,0,Self_Employed,Tier_3,15218.34,6809.44,16694.97,31617.95,41904.04,21124.17
24875.28,52,4,Professional,Tier_2,4975.06,3112.61,1874.1,6265.7,11366.679999999998,4130.32
24875.61,57,4,Self_Employed,Tier_2,4975.12,0.0,1478.67,7599.27,13027.43,4248.92
106119.69,53,0,Self_Employed,Tier_2,21223.94,0.0,18399.56,41595.33,44720.27,19804.1
55431.34,40,1,Professional,Tier_2,11086.27,8307.7,6636.41,8465.94,29909.629999999997,8748.06
20606.73,32,4,Retired,Tier_1,6182.02,3562.49,362.92,362.92,13377.5,3303.8299999999995
46304.79,30,1,Student,Tier_2,9260.96,0.0,5615.1,15690.26,22042.879999999997,8571.640000000001
20706.82,31,0,Student,Tier_3,3106.02,0.0,1729.7,8058.57,8634.35,4013.91
20668.56,31,4,Professional,Tier_2,4133.71,0.0,1704.19,6119.61,10114.960000000001,4433.99
36407.22,54,3,Retired,Tier_1,10922.17,4583.25,2743.08,4590.47,21021.850000000002,6211.650000000001
6492.02,22,3,Retired,Tier_3,973.8,0.0,464.29,1880.93,3198.41,1412.68
7547.85,39,4,Self_Employed,Tier_2,1509.57,0.0,412.21,2161.46,3962.71,1423.71
19132.1,45,2,Student,Tier_2,3826.42,2525.41,1533.96,3204.35,9539.31,3863.02
13342.21,62,4,Retired,Tier_2,2668.44,2540.48,1086.13,1098.29,6946.01,2757.4199999999996
38574.65,21,4,Professional,Tier_2,7714.93,0.0,2666.09,10612.58,20770.55,7191.5199999999995
14509.13,55,4,Student,Tier_1,4352.74,829.44,1049.97,2482.61,8559.25,2637.82
9692.52,46,0,Professional,Tier_2,1938.5,0.0,505.94,3659.07,4024.73,2008.72
96903.57,54,4,Retired,Tier_2,19380.71,9481.17,13125.69,20836.43,49722.0,16863.980000000003
25042.55,52,4,Self_Employed,Tier_2,5008.51,2898.04,1439.44,4900.62,12511.37,4732.53
31665.25,37,0,Student,Tier_1,9499.58,0.0,2164.46,8792.34,16734.26,6138.66
9596.5,52,4,Retired,Tier_2,1919.3,0.0,522.91,3095.66,4500.799999999999,2000.04
19408.11,52,3,Retired,Tier_1,5822.43,2832.16,826.27,826.27,11776.500000000002,3973.17
32783.83,37,3,Professional,Tier_2,6556.77,0.0,3073.11,9773.0,16332.230000000003,6678.6
11946.07,19,4,Student,Tier_2,2389.21,0.0,670.45,4147.83,5590.33,2207.9300000000003
40518.38,35,0,Retired,Tier_3,6077.76,0.0,5993.96,16466.83,17288.83,6762.72
18554.02,47,4,Self_Employed,Tier_2,3710.8,1192.22,1793.11,3422.99,10109.5,3829.3
23756.17,59,4,Student,Tier_2,4751.23,0.0,1502.4,7421.82,11856.939999999999,4477.4
18538.17,46,1,Professional,Tier_2,3707.63,3359.64,1734.17,2054.64,9998.009999999998,3125.87
132028.78,56,2,Self_Employed,Tier_3,19804.32,0.0,24469.69,50041.28,56654.19,25333.309999999998
29677.81,39,0,Retired,Tier_1,8903.34,2892.44,1527.7,6059.97,15703.35,5022.05
12871.67,46,2,Retired,Tier_2,2574.33,0.0,1139.89,3153.88,7090.24,2627.54
57929.88,63,1,Retired,Tier_2,11585.98,0.0,7631.45,18820.94,28989.129999999997,10119.83
11296.83,27,2,Retired,Tier_2,2259.37,0.0,979.96,3287.89,5590.82,2418.12
35455.85,37,4,Professional,Tier_3,5318.38,2757.06,2043.56,10177.72,15117.740000000002,7403.32
6255.5,33,3,Self_Employed,Tier_2,1251.1,867.81,401.79,793.26,3230.8999999999996,1363.53
10367.22,23,0,Student,Tier_3,1555.08,736.93,653.47,3837.64,3900.51,1892.12
35117.04,34,0,Retired,Tier_1,10535.11,0.0,1886.1,10184.63,17965.94,6966.469999999999
54161.52,23,4,Self_Employed,Tier_1,16248.46,5389.56,5174.2,5174.2,33639.17999999999,9958.599999999999
34408.1,39,2,Self_Employed,Tier_2,6881.62,0.0,3155.76,10603.13,18028.02,5776.96
27348.97,35,0,Self_Employed,Tier_3,4102.35,0.0,1532.17,12147.8,9401.120000000003,5800.06
23578.01,49,1,Self_Employed,Tier_2,4715.6,0.0,2348.48,7199.68,11294.400000000001,5083.920000000001
9192.43,45,1,Professional,Tier_2,1838.49,1648.01,542.32,542.32,5058.53,1943.56
16866.38,59,2,Self_Employed,Tier_2,3373.28,2840.34,1627.64,2977.62,7843.81,3204.61
20752.91,27,1,Professional,Tier_3,3112.94,0.0,1708.77,6590.15,9487.36,4675.41
69888.08,58,3,Professional,Tier_1,20966.43,0.0,9335.82,13785.94,43725.02,12377.14
39491.76,39,4,Retired,Tier_2,7898.35,0.0,3015.74,14851.97,18644.420000000002,5995.38
7321.13,45,0,Student,Tier_2,1464.23,674.69,498.76,2133.47,3172.32,1340.6499999999999
38879.4,32,4,Student,Tier_2,7775.88,0.0,2206.55,13218.76,18634.38,7026.26
22046.01,60,2,Self_Employed,Tier_2,4409.2,2490.27,1343.35,4473.48,11184.949999999999,3897.31
17455.59,46,4,Self_Employed,Tier_1,5236.68,0.0,1066.2,3743.51,11093.3,2618.78
48937.23,24,0,Student,Tier_3,7340.58,6173.58,5504.3,14153.39,18155.1,10455.17
68442.71,51,0,Student,Tier_2,13688.54,9243.34,9241.34,15611.39,29162.870000000003,14425.109999999999
63194.77,49,2,Professional,Tier_2,12638.95,0.0,8239.0,17787.99,32680.49,12726.27
15330.18,19,0,Self_Employed,Tier_2,3066.04,0.0,1406.58,5528.11,6986.639999999999,2815.43
23425.55,43,1,Student,Tier_1,7027.67,2226.88,1480.87,1480.87,15082.19,4635.62
39103.35,62,4,Student,Tier_2,7820.67,0.0,2217.69,11002.05,20416.19,7685.1
65472.71,28,3,Professional,Tier_2,13094.54,0.0,8984.3,21235.16,32080.69,12156.86
20447.45,42,3,Retired,Tier_2,4089.49,0.0,1083.42,5942.53,10041.18,4463.73
25859.3,36,3,Professional,Tier_2,5171.86,0.0,2417.37,8534.99,12533.24,4791.08
12380.58,37,2,Student,Tier_3,1857.09,1610.9,1133.62,3125.29,5351.75,2292.6499999999996
11521.7,50,3,Self_Employed,Tier_2,2304.34,1912.46,640.37,1439.27,5642.62,2527.36
57467.41,34,4,Retired,Tier_2,11493.48,8786.61,5901.44,11826.84,27084.51,9769.46
88782.49,47,0,Professional,Tier_1,26634.75,0.0,10652.29,27322.3,47077.26,14382.939999999999
28320.6,35,1,Retired,Tier_1,8496.18,0.0,2243.56,6627.02,16337.47,5356.1
66955.2,49,3,Retired,Tier_2,13391.04,12898.37,5091.19,5091.19,35546.2,13419.43
40065.12,57,3,Professional,Tier_1,12019.54,3437.47,4090.16,4944.55,24490.24,7192.87
17905.39,62,3,Self_Employed,Tier_2,3581.08,0.0,1262.44,5110.69,8849.15,3945.5600000000004
40057.42,21,1,Student,Tier_3,6008.61,6078.13,5259.73,5593.3,19968.54,8417.45
102680.95,49,4,Student,Tier_2,20536.19,19761.33,13805.02,13805.02,51011.28,18103.31
29152.38,36,3,Self_Employed,Tier_2,5830.48,0.0,2310.95,7753.06,15368.11,6031.21
104890.01,20,0,Retired,Tier_1,31467.0,6756.65,18438.71,20895.76,55651.0,21586.59
3689.17,55,2,Self_Employed,Tier_1,1106.75,495.41,146.79,146.79,2224.25,822.71
57900.12,45,1,Retired,Tier_1,17370.03,11444.47,0.0,-849.65,34671.66,12633.649999999998
32163.59,55,4,Professional,Tier_2,6432.72,1904.56,1805.38,9011.3,15667.220000000001,5580.509999999999
23617.58,23,0,Retired,Tier_2,4723.52,0.0,1807.12,9551.84,10197.35,3868.4
32285.11,57,1,Student,Tier_1,9685.53,3371.92,2963.08,4271.28,20038.65,4603.26
6117.43,34,1,Student,Tier_2,1223.49,383.87,478.48,1529.03,2949.8399999999997,1254.69
25165.14,59,2,Retired,Tier_2,5033.03,3469.49,1604.25,3926.34,12263.96,5505.35
39920.4,22,2,Student,Tier_2,7984.08,7102.2,2386.25,6077.82,18823.23,7917.150000000001
97857.53,36,4,Self_Employed,Tier_2,19571.51,0.0,10239.77,30885.02,51657.97,15314.54
