Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
44637.25,49,0,Self_Employed,Tier_1,13391.17,0.0,2206.49,6658.77,2636.97,1651.8,1536.18,2911.79,1546.91,0.0,831.53,13.89,6200.54,11265.63,1685.7,328.9,465.77,195.15,678.29,67.68,0.0,85.74
26858.6,34,2,Retired,Tier_2,5371.72,0.0,869.52,2818.44,1543.02,649.38,1050.24,1626.14,1137.35,1551.72,564.24,7.16,1923.18,9676.82,540.31,119.35,141.87,234.13,286.67,6.6,56.31,97.39
50367.61,35,1,Student,Tier_3,7555.14,4612.1,2201.8,6313.22,3221.4,1513.81,1723.31,3368.46,2178.52,3160.03,628.37,14.0,7050.36,13891.45,1466.07,473.55,410.86,459.97,488.38,7.29,106.65,138.54
101455.6,21,0,Self_Employed,Tier_3,15218.34,6809.44,4889.42,14690.15,7106.13,5040.25,2858.19,6128.55,4571.12,0.0,2526.06,16.46,16694.97,31617.95,1875.93,762.02,1241.02,320.19,1389.82,193.5,0.0,296.04
24875.28,52,4,Professional,Tier_2,4975.06,3112.61,635.91,3034.33,1276.16,692.83,660.19,1092.69,1169.1,1445.22,515.51,7.53,1874.1,6265.7,788.95,68.16,61.71,187.17,194.12,47.29,67.39,96.56
24875.61,57,4,Self_Employed,Tier_2,4975.12,0.0,1038.23,3250.07,1760.16,1049.07,751.02,1024.31,1022.3,2003.85,402.22,5.94,1478.67,7599.27,957.62,521.68,135.93,148.95,86.57,13.14,33.96,96.68
106119.69,53,0,Self_Employed,Tier_2,21223.94,0.0,4360.2,12790.39,6345.74,4390.91,2626.77,6202.55,3807.1,0.0,2776.77,17.34,18399.56,41595.33,2799.23,912.96,438.01,541.7,838.3,111.86,0.0,409.45
55431.34,40,1,Professional,Tier_2,11086.27,8307.7,1755.44,8194.48,3353.0,1741.91,1219.68,2361.98,2574.45,5520.44,850.04,11.97,6636.41,8465.94,1059.5,838.16,466.18,327.9,353.41,92.74,116.12,71.52
20606.73,32,4,Retired,Tier_1,6182.02,3562.49,1018.59,3066.87,1170.79,688.06,418.23,921.23,830.24,1939.23,446.07,6.3,362.92,362.92,822.97,213.0,85.49,97.81,252.34,9.98,59.96,80.75
46304.79,30,1,Student,Tier_2,9260.96,0.0,2130.25,5065.63,2500.05,2040.31,1016.61,2945.43,1649.76,3085.99,919.53,12.13,5615.1,15690.26,962.02,380.27,598.88,188.31,793.64,34.87,39.74,203.15
20706.82,31,0,Student,Tier_3,3106.02,0.0,1031.78,3037.27,1459.28,451.41,785.29,1548.08,819.1,0.0,410.03,8.35,1729.7,8058.57,503.56,392.32,35.43,230.33,262.89,38.34,0.0,77.8
20668.56,31,4,Professional,Tier_2,4133.71,0.0,754.45,2597.4,1123.04,878.88,643.15,1408.9,1019.25,1506.36,483.81,8.25,1704.19,6119.61,554.2,267.3,119.57,123.96,271.59,1.5,29.7,94.49
36407.22,54,3,Retired,Tier_1,10922.17,4583.25,970.79,4685.67,2503.09,1328.96,822.88,2335.94,1153.75,1940.13,570.12,7.53,2743.08,4590.47,445.7,190.11,346.31,85.13,474.01,40.97,85.03,40.63
6492.02,22,3,Retired,Tier_3,973.8,0.0,184.24,955.5,494.82,309.24,229.83,471.87,222.65,590.05,179.09,7.15,464.29,1880.93,180.47,38.25,59.83,49.16,60.74,3.92,20.42,46.56
7547.85,39,4,Self_Employed,Tier_2,1509.57,0.0,330.19,1032.73,568.24,266.44,277.47,510.6,235.71,521.98,133.49,5.46,412.21,2161.46,208.11,114.59,72.17,77.92,97.97,2.98,4.88,36.84
19132.1,45,2,Student,Tier_2,3826.42,2525.41,590.19,2515.72,1164.07,661.75,660.75,1159.58,919.43,1442.91,461.51,8.02,1533.96,3204.35,323.14,108.91,183.12,101.13,314.59,17.27,66.99,92.37
13342.21,62,4,Retired,Tier_2,2668.44,2540.48,352.89,1920.1,961.38,622.27,331.7,985.63,531.56,1043.2,286.26,8.14,1086.13,1098.29,568.17,205.18,154.84,96.4,263.23,20.0,5.42,61.4
38574.65,21,4,Professional,Tier_2,7714.93,0.0,1838.34,5126.82,2614.48,1267.55,1802.74,2081.39,1196.04,3475.98,843.8,6.91,2666.09,10612.58,862.85,202.78,217.66,113.22,435.1,6.84,41.43,179.8
14509.13,55,4,Student,Tier_1,4352.74,829.44,438.6,1506.25,811.7,515.58,414.23,766.34,656.65,1449.96,285.02,7.24,1049.97,2482.61,384.18,194.04,34.82,99.84,55.81,7.78,41.56,84.83
9692.52,46,0,Professional,Tier_2,1938.5,0.0,217.59,1306.54,562.1,396.06,427.91,723.64,305.65,0.0,155.46,5.22,505.94,3659.07,138.17,102.74,118.04,69.69,66.64,3.07,0.0,19.68
