Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income
44637.25,49,0,Self_Employed,Tier_1,13391.17,0.0,2206.49,6658.77,2636.97,1651.8,1536.18,2911.79,1546.91,0.0,831.53,13.89,6200.54,11265.63
26858.6,34,2,Retired,Tier_2,5371.72,0.0,869.52,2818.44,1543.02,649.38,1050.24,1626.14,1137.35,1551.72,564.24,7.16,1923.18,9676.82
50367.61,35,1,Student,Tier_3,7555.14,4612.1,2201.8,6313.22,3221.4,1513.81,1723.31,3368.46,2178.52,3160.03,628.37,14.0,7050.36,13891.45
101455.6,21,0,Self_Employed,Tier_3,15218.34,6809.44,4889.42,14690.15,7106.13,5040.25,2858.19,6128.55,4571.12,0.0,2526.06,16.46,16694.97,31617.95
24875.28,52,4,Professional,Tier_2,4975.06,3112.61,635.91,3034.33,1276.16,692.83,660.19,1092.69,1169.1,1445.22,515.51,7.53,1874.1,6265.7
24875.61,57,4,Self_Employed,Tier_2,4975.12,0.0,1038.23,3250.07,1760.16,1049.07,751.02,1024.31,1022.3,2003.85,402.22,5.94,1478.67,7599.27
106119.69,53,0,Self_Employed,Tier_2,21223.94,0.0,4360.2,12790.39,6345.74,4390.91,2626.77,6202.55,3807.1,0.0,2776.77,17.34,18399.56,41595.33
55431.34,40,1,Professional,Tier_2,11086.27,8307.7,1755.44,8194.48,3353.0,1741.91,1219.68,2361.98,2574.45,5520.44,850.04,11.97,6636.41,8465.94
20606.73,32,4,Retired,Tier_1,6182.02,3562.49,1018.59,3066.87,1170.79,688.06,418.23,921.23,830.24,1939.23,446.07,6.3,362.92,362.92
46304.79,30,1,Student,Tier_2,9260.96,0.0,2130.25,5065.63,2500.05,2040.31,1016.61,2945.43,1649.76,3085.99,919.53,12.13,5615.1,15690.26
20706.82,31,0,Student,Tier_3,3106.02,0.0,1031.78,3037.27,1459.28,451.41,785.29,1548.08,819.1,0.0,410.03,8.35,1729.7,8058.57
20668.56,31,4,Professional,Tier_2,4133.71,0.0,754.45,2597.4,1123.04,878.88,643.15,1408.9,1019.25,1506.36,483.81,8.25,1704.19,6119.61
36407.22,54,3,Retired,Tier_1,10922.17,4583.25,970.79,4685.67,2503.09,1328.96,822.88,2335.94,1153.75,1940.13,570.12,7.53,2743.08,4590.47
6492.02,22,3,Retired,Tier_3,973.8,0.0,184.24,955.5,494.82,309.24,229.83,471.87,222.65,590.05,179.09,7.15,464.29,1880.93
7547.85,39,4,Self_Employed,Tier_2,1509.57,0.0,330.19,1032.73,568.24,266.44,277.47,510.6,235.71,521.98,133.49,5.46,412.21,2161.46
19132.1,45,2,Student,Tier_2,3826.42,2525.41,590.19,2515.72,1164.07,661.75,660.75,1159.58,919.43,1442.91,461.51,8.02,1533.96,3204.35
13342.21,62,4,Retired,Tier_2,2668.44,2540.48,352.89,1920.1,961.38,622.27,331.7,985.63,531.56,1043.2,286.26,8.14,1086.13,1098.29
38574.65,21,4,Professional,Tier_2,7714.93,0.0,1838.34,5126.82,2614.48,1267.55,1802.74,2081.39,1196.04,3475.98,843.8,6.91,2666.09,10612.58
14509.13,55,4,Student,Tier_1,4352.74,829.44,438.6,1506.25,811.7,515.58,414.23,766.34,656.65,1449.96,285.02,7.24,1049.97,2482.61
9692.52,46,0,Professional,Tier_2,1938.5,0.0,217.59,1306.54,562.1,396.06,427.91,723.64,305.65,0.0,155.46,5.22,505.94,3659.07
96903.57,54,4,Retired,Tier_2,19380.71,9481.17,3585.07,14257.03,6271.72,2829.05,3879.58,4066.69,3956.93,6227.47,2131.73,13.55,13125.69,20836.43
25042.55,52,4,Self_Employed,Tier_2,5008.51,2898.04,914.22,3170.69,1947.5,1098.41,839.59,1321.02,1066.04,1470.45,407.47,5.75,1439.44,4900.62
31665.25,37,0,Student,Tier_1,9499.58,0.0,1034.49,4019.47,2180.72,1373.34,876.08,1686.6,1579.08,0.0,623.56,6.84,2164.46,8792.34
9596.5,52,4,Retired,Tier_2,1919.3,0.0,320.45,1092.98,627.38,429.72,379.45,515.08,417.07,540.69,258.72,5.45,522.91,3095.66
19408.11,52,3,Retired,Tier_1,5822.43,2832.16,516.12,2486.69,1346.56,956.59,930.29,1041.33,592.63,1604.7,452.33,6.12,826.27,826.27
32783.83,37,3,Professional,Tier_2,6556.77,0.0,946.62,4815.61,1788.11,1519.47,1452.26,1557.94,1175.05,2225.12,973.88,9.37,3073.11,9773.0
11946.07,19,4,Student,Tier_2,2389.21,0.0,413.3,1363.79,641.89,475.93,497.31,699.28,404.44,782.14,130.97,5.61,670.45,4147.83
40518.38,35,0,Retired,Tier_3,6077.76,0.0,1992.04,6013.17,3205.86,1070.64,1146.63,2250.44,1221.91,0.0,1073.1,14.79,5993.96,16466.83
18554.02,47,4,Self_Employed,Tier_2,3710.8,1192.22,916.64,2512.97,1393.71,674.69,773.19,1169.74,795.08,1575.38,416.6,9.66,1793.11,3422.99
23756.17,59,4,Student,Tier_2,4751.23,0.0,537.26,2635.31,1579.26,597.59,1039.08,1446.64,1068.19,2353.88,325.9,6.32,1502.4,7421.82
18538.17,46,1,Professional,Tier_2,3707.63,3359.64,874.84,2506.83,1186.58,729.46,409.26,946.04,746.65,1722.13,294.46,9.35,1734.17,2054.64
132028.78,56,2,Self_Employed,Tier_3,19804.32,0.0,4383.84,15998.75,7954.56,5733.45,4929.44,6807.52,5860.84,8512.72,2002.06,18.53,24469.69,50041.28
29677.81,39,0,Retired,Tier_1,8903.34,2892.44,1002.34,3838.26,1959.41,769.22,1051.78,1756.56,1046.76,0.0,397.73,5.15,1527.7,6059.97
12871.67,46,2,Retired,Tier_2,2574.33,0.0,396.18,1841.4,1013.27,281.06,564.11,877.64,556.88,1265.06,347.85,8.86,1139.89,3153.88
57929.88,63,1,Retired,Tier_2,11585.98,0.0,2686.89,6416.2,3010.58,1164.43,2301.16,3995.6,1886.01,5289.48,772.63,13.17,7631.45,18820.94
11296.83,27,2,Retired,Tier_2,2259.37,0.0,380.88,1382.73,763.56,553.77,456.43,701.87,503.31,804.28,202.74,8.67,979.96,3287.89
35455.85,37,4,Professional,Tier_3,5318.38,2757.06,715.15,4322.43,2783.75,951.33,1212.45,2596.99,1666.03,1978.03,976.52,5.76,2043.56,10177.72
6255.5,33,3,Self_Employed,Tier_2,1251.1,867.81,300.65,841.29,457.47,234.35,301.52,459.16,244.88,380.39,123.62,6.42,401.79,793.26
