Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Desired_Savings,Disposable_Income,Gasto_Fijo,Gastos_variables,Grupo_edad
44637.25,49.0,0.0,Self_Employed,Tier_1,13391.17,0.0,6200.54,11265.63,24893.4,8478.21,adulto
26858.6,34.0,2.0,Retired,Tier_2,5371.72,0.0,1923.18,9676.82,12154.42,5027.35,adulto
50367.61,35.0,1.0,Student,Tier_3,7555.14,4612.1,7050.36,13891.45,22451.59,9412.47,adulto
24875.28,52.0,4.0,Professional,Tier_2,4975.06,3112.61,1874.1,6265.7,11366.679999999998,4130.32,anciano
24875.61,57.0,4.0,Self_Employed,Tier_2,4975.12,0.0,1478.67,7599.27,13027.43,4248.92,anciano
46304.79,30.0,1.0,Student,Tier_2,9260.96,0.0,5615.1,15690.26,22042.88,8571.640000000001,adulto
20706.82,31.0,0.0,Student,Tier_3,3106.02,0.0,1729.7,8058.57,8634.35,4013.91,adulto
20668.56,31.0,4.0,Professional,Tier_2,4133.71,0.0,1704.19,6119.61,10114.96,4433.99,adulto
36407.22,54.0,3.0,Retired,Tier_1,10922.17,4583.25,2743.08,4590.47,21021.85,6211.650000000001,anciano
19132.1,45.0,2.0,Student,Tier_2,3826.42,2525.41,1533.96,3204.35,9539.31,3863.02,adulto
14509.13,55.0,4.0,Student,Tier_1,4352.74,829.44,1049.97,2482.61,8559.25,2637.82,anciano
25042.55,52.0,4.0,Self_Employed,Tier_2,5008.51,2898.04,1439.44,4900.62,12511.37,4732.53,anciano
31665.25,37.0,0.0,Student,Tier_1,9499.58,0.0,2164.46,8792.34,16734.26,6138.66,adulto
32783.83,37.0,3.0,Professional,Tier_2,6556.77,0.0,3073.11,9773.0,16332.230000000003,6678.6,adulto
40518.38,35.0,0.0,Retired,Tier_3,6077.76,0.0,5993.96,16466.83,17288.83,6762.72,adulto
18554.02,47.0,4.0,Self_Employed,Tier_2,3710.8,1192.22,1793.11,3422.99,10109.5,3829.3,adulto
