Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous
1685.7,328.9,465.77,195.15,678.29,67.68,0.0,85.74
540.31,119.35,141.87,234.13,286.67,6.6,56.31,97.39
1466.07,473.55,410.86,459.97,488.38,7.29,106.65,138.54
1875.93,762.02,1241.02,320.19,1389.82,193.5,0.0,296.04
788.95,68.16,61.71,187.17,194.12,47.29,67.39,96.56
957.62,521.68,135.93,148.95,86.57,13.14,33.96,96.68
2799.23,912.96,438.01,541.7,838.3,111.86,0.0,409.45
1059.5,838.16,466.18,327.9,353.41,92.74,116.12,71.52
822.97,213.0,85.49,97.81,252.34,9.98,59.96,80.75
962.02,380.27,598.88,188.31,793.64,34.87,39.74,203.15
503.56,392.32,35.43,230.33,262.89,38.34,0.0,77.8
554.2,267.3,119.57,123.96,271.59,1.5,29.7,94.49
445.7,190.11,346.31,85.13,474.01,40.97,85.03,40.63
180.47,38.25,59.83,49.16,60.74,3.92,20.42,46.56
208.11,114.59,72.17,77.92,97.97,2.98,4.88,36.84
323.14,108.91,183.12,101.13,314.59,17.27,66.99,92.37
568.17,205.18,154.84,96.4,263.23,20.0,5.42,61.4
862.85,202.78,217.66,113.22,435.1,6.84,41.43,179.8
384.18,194.04,34.82,99.84,55.81,7.78,41.56,84.83
138.17,102.74,118.04,69.69,66.64,3.07,0.0,19.68
4013.47,1649.69,584.64,200.13,451.54,191.91,295.42,404.04
859.65,335.61,218.41,161.42,355.09,50.18,33.31,70.79
1182.46,273.2,126.66,262.09,294.82,39.03,0.0,186.74
309.58,86.11,72.54,52.32,142.54,6.44,15.95,21.1
541.41,254.95,119.94,170.26,120.85,19.93,79.48,109.04
322.69,491.95,258.49,293.9,192.61,35.05,68.57,251.97
322.02,62.93,133.38,111.36,101.63,19.87,0.22,15.69
1338.34,502.89,77.74,271.53,266.61,47.51,0.0,61.6
338.69,400.0,151.12,189.38,128.21,29.77,31.68,111.91
597.58,234.68,134.02,290.2,358.2,17.57,88.57,56.37
265.51,183.94,106.79,122.7,203.08,36.23,78.85,46.56
904.97,699.24,1558.12,691.32,750.97,62.94,412.59,308.42
247.53,272.65,224.49,173.63,418.87,21.0,0.0,106.3
247.21,227.24,69.44,50.97,231.99,24.28,47.18,81.47
1643.51,786.33,117.43,636.86,808.88,89.25,14.98,161.46
307.05,98.83,28.28,73.62,67.24,13.7,9.8,60.75
833.33,148.98,199.46,110.19,301.23,6.41,39.53,260.51
100.04,107.95,19.5,32.07,81.0,2.68,9.44,7.55
142.43,189.38,31.76,32.61,177.34,13.03,0.0,10.65
1009.95,457.1,176.96,163.23,188.01,61.26,0.0,256.27
597.39,500.0,97.73,573.79,199.14,41.12,100.81,143.37
1070.41,594.52,252.99,46.43,333.15,32.58,48.72,92.04
250.69,268.03,233.27,143.62,161.11,4.6,0.0,44.29
740.94,221.97,95.27,26.86,528.26,37.15,65.33,114.62
136.63,136.51,72.15,73.14,76.74,4.13,35.25,70.16
316.14,285.42,168.33,100.24,63.54,13.37,39.59,28.94
671.04,104.48,182.54,56.97,356.94,32.24,23.96,33.84
1239.32,845.05,610.05,179.87,584.92,26.89,302.08,516.71
895.11,665.36,139.56,239.21,314.79,0.96,2.62,57.39
74.0,76.63,56.47,44.33,72.01,4.98,0.0,21.05
515.95,741.56,232.91,82.97,299.28,21.96,101.42,145.26
300.59,176.11,238.63,64.86,83.76,31.95,77.76,43.22
309.46,139.58,105.12,54.25,47.63,39.18,52.72,58.49
1298.97,759.56,190.89,599.76,536.06,80.86,0.0,319.37
646.9,835.57,477.79,393.1,817.27,26.43,0.0,395.22
905.28,355.27,319.88,698.27,220.94,55.83,40.44,85.11
283.15,237.8,61.76,182.09,87.82,14.78,0.0,86.2
454.77,343.53,41.18,101.12,150.04,13.82,46.9,100.71
1217.83,621.04,365.71,273.16,405.68,75.51,48.01,96.6
1730.95,261.08,146.86,484.09,374.39,99.14,241.29,431.91
528.84,251.2,185.6,110.34,124.12,44.55,52.63,96.12
